name,address,bairro,link,lat,lng
Llamita Empanadas Y Bar,"Rua das Pernambucanas, 30 | Graças, Recife - PE",Graças,https://comidadibuteco.com.br/buteco/llamita-empanadas-y-bar/,-8.051346168701194,-34.899806562120766
Mamute Beer,"Avenida Beira Rio, 1303 | Torre, Recife - PE",Torre,https://comidadibuteco.com.br/buteco/mamute-beer/,-8.04178717270139,-34.90516938618768
MB Cantina De Fogo,"Rua Bezerra da Palma, 213 | Aldeia, Camaragibe - PE",Aldeia,https://comidadibuteco.com.br/buteco/mb-cantina-de-fogo/,-7.988474733263373,-34.97443659216612
O Chalé Bar Karaokê,"Avenida Norte, 5407 | Recife - PE",Recife - PE,https://comidadibuteco.com.br/buteco/o-chale-bar-karaoke/,-7.8970265341801,-35.05801386931479
Quintal da Gaúcha,"Rua José Nunes da Cunha, 4592 | Jaboatão dos Guararapes - PE",Jaboatão dos Guararapes - PE,https://comidadibuteco.com.br/buteco/quintal-da-gaucha/,-8.18016767897512,-34.918560361455064
Quintal do Maninho,"Rua Cônego Romeu, 142 | Boa Viagem, Recife - PE",Boa Viagem,https://comidadibuteco.com.br/buteco/quintal-do-maninho/,-8.138267988153858,-34.90628811454416
Raffa Beer,"Avenida Hélio Falcão, 577 | Boa Viagem, Recife - PE",Boa Viagem,https://comidadibuteco.com.br/buteco/raffa-beer/,-8.1254728,-34.9030562
Seu Peu Gastropub,"Rua Carneiro Vilela, 665 | Encruzilhada, Recife - PE",Encruzilhada,https://comidadibuteco.com.br/buteco/seu-peu-gastropub/,-8.0394959,-34.89414495
Sup Bar Candeias,"Rua Antônio Carlos de Oliveira, 5666 | Candeias, Jaboatão dos Guararapes - PE",Candeias,https://comidadibuteco.com.br/buteco/sup-bar-candeias/,-8.204618681918756,-34.922773499397636
Tropicana Sabor e Arte,"Rua Dona Magina Pontual, 32 | Boa Viagem, Recife - PE",Boa Viagem,https://comidadibuteco.com.br/buteco/tropicana-sabor-e-arte/,-8.1298507,-34.9029944
Vieira Bar e Restaurante,"Rua Araguari, 47 | Brasília Teimosa, Recife - PE",Brasília Teimosa,https://comidadibuteco.com.br/buteco/vieira-bar-e-restaurante/,-8.089574549999998,-34.8809174
Whiskritório,"Avenida Pinheiros, 322 | Imbiribeira, Recife - PE",Imbiribeira,https://comidadibuteco.com.br/buteco/whiskritorio/,-8.0906171,-34.9117494
