name,address,bairro,link,lat,lng
Lewis Bar,"Rua Crasso, 140 | Água Branca, São Paulo - SP",Água Branca,https://comidadibuteco.com.br/buteco/3286-revision-v1/,-23.52403955205859,-46.68972746851178
Luiiza Bar,"Rua Brigadeiro Galvão, 32 | Barra Funda, São Paulo - SP",Barra Funda,https://comidadibuteco.com.br/buteco/luiiza-bar/,,
Mathilda Wine Bar,"Rua Coronel Bento José de Carvalho, 339 | Vila Matilde, São Paulo - SP",Vila Matilde,https://comidadibuteco.com.br/buteco/mathilda-wine-bar/,-23.54099308410107,-46.52426872295264
Meio a Meio Bar,"Avenida Casa Verde, 2800 | Casa Verde, São Paulo - SP",Casa Verde,https://comidadibuteco.com.br/buteco/meio-a-meio-bar/,-23.5064295,-46.6659572
Mena Gastrobar,"Praça Ituzaingó, 42 | Vila Regente Feijó, São Paulo - SP",Vila Regente Feijó,https://comidadibuteco.com.br/buteco/mena-gastrobar/,,
Mestre Gusta Gastrobar,"Praça Comandante Eduardo de Oliveira, 20 | Parque Edu Chaves, São Paulo - SP",Parque Edu Chaves,https://comidadibuteco.com.br/buteco/mestre-gusta-gastrobar/,-23.47738014412065,-46.56489951528168
Ministro Gastrobar,"Rua Bartira, 429 | Perdizes, São Paulo - SP",Perdizes,https://comidadibuteco.com.br/buteco/ministro-gastrobar/,-23.5383107,-46.6721808
Mise en Place,"Rua José de Siqueira, 45 | Freguesia do Ó, São Paulo - SP",Freguesia do Ó,https://comidadibuteco.com.br/buteco/mise-en-place/,-23.49992625,-46.69924115
Mortadela Brasil,"Rua da Cantareira, 306 | Centro, São Paulo - SP",Centro,https://comidadibuteco.com.br/buteco/mortadela-brasil/,-23.39090594194318,-46.30665010570985
Nordeztino Bar e Restaurante,"Avenida Nossa Senhora do Loreto, 836 | Vila Medeiros, São Paulo - SP",Vila Medeiros,https://comidadibuteco.com.br/buteco/nordeztino-bar-e-restaurante/,-23.4883596,-46.5834342
O EmBARxador,"Rua Embaixador João Neves da Fontoura, 306 | Santana, São Paulo - SP",Santana,https://comidadibuteco.com.br/buteco/embarxador/,-23.501784308357053,-46.63375300295911
O Engenheiro,"Avenida Engenheiro Caetano Álvares, 6578 | Jardim Paraíso, São Paulo - SP",Jardim Paraíso,https://comidadibuteco.com.br/buteco/o-engenheiro/,,
O Mirandês,"Rua Canuto do Val, 216 | Vila Buarque, São Paulo - SP",Vila Buarque,https://comidadibuteco.com.br/buteco/o-mirandes/,,
OCUPA cozinha e bar,"Rua Brigadeiro Galvão, 102 | Barra Funda, São Paulo - SP",Barra Funda,https://comidadibuteco.com.br/buteco/ocupa-cozinha-e-bar/,,
